Name;Index;DateTime;High;Low;Open;Close;BidVolume;AskVolume
Bar;0;02/11/2025 18:00:00;26050;26012,5;26026;26047,5;2748;2761
Bar;1;02/11/2025 18:05:00;26070;26044,5;26047,5;26064;1907;2119
Bar;2;02/11/2025 18:10:00;26072;26060;26064,25;26070,75;754;862
Bar;3;02/11/2025 18:15:00;26075;26063,75;26070,5;26074,25;980;1116
Bar;4;02/11/2025 18:20:00;26077,25;26056;26074,75;26062;1587;1021
Bar;5;02/11/2025 18:25:00;26062,25;26049,25;26061,5;26058;1499;1290
Bar;6;02/11/2025 18:30:00;26082,75;26053,5;26058;26082;1186;1936
Bar;7;02/11/2025 18:35:00;26087,5;26071;26080,75;26074,25;1465;1206
Bar;8;02/11/2025 18:40:00;26087,75;26073,75;26074,25;26075,5;843;873
Bar;9;02/11/2025 18:45:00;26085,75;26075,5;26076;26084;482;653
Bar;10;02/11/2025 18:50:00;26092,75;26083,5;26084,5;26086,75;734;1015
Bar;11;02/11/2025 18:55:00;26091,5;26080,5;26086,5;26080,75;906;783
Bar;12;02/11/2025 19:00:00;26091;26078,75;26080,75;26088,5;874;932
Bar;13;02/11/2025 19:05:00;26097,5;26086;26088,25;26092,25;979;1034
Bar;14;02/11/2025 19:10:00;26098;26083,75;26092;26091,25;833;732
Bar;15;02/11/2025 19:15:00;26108;26089,5;26090,75;26107,25;1009;1703
Bar;16;02/11/2025 19:20:00;26114;26106,5;26107,25;26108;960;845
Bar;17;02/11/2025 19:25:00;26108,5;26097,5;26108,5;26104;895;714
Bar;18;02/11/2025 19:30:00;26112;26101,5;26104,5;26107;798;748
Bar;19;02/11/2025 19:35:00;26112;26101,5;26107,5;26110,25;722;625
Bar;20;02/11/2025 19:40:00;26116;26109,5;26110,25;26112,25;599;669
Bar;21;02/11/2025 19:45:00;26116,5;26112;26112,25;26114;333;388
Bar;22;02/11/2025 19:50:00;26117;26112,75;26114;26115;359;386
Bar;23;02/11/2025 19:55:00;26119,75;26110;26114,25;26116,25;532;675
Bar;24;02/11/2025 20:00:00;26121,75;26111,25;26116,5;26112,25;1013;1013
Bar;25;02/11/2025 20:05:00;26113,75;26101;26112,75;26104,75;1242;1145
Bar;26;02/11/2025 20:10:00;26112,75;26103,25;26104,5;26110;517;614
Bar;27;02/11/2025 20:15:00;26123;26109,5;26110,5;26118,5;858;1181
Bar;28;02/11/2025 20:20:00;26123;26104;26119,25;26104,25;1034;769
Bar;29;02/11/2025 20:25:00;26108;26101;26104,75;26106,25;673;613
Bar;30;02/11/2025 20:30:00;26109,25;26101,5;26106,5;26103,25;647;472
Bar;31;02/11/2025 20:35:00;26104,25;26095,75;26103,75;26097,5;930;736
Bar;32;02/11/2025 20:40:00;26100,5;26087,5;26097,5;26099,25;1182;968
Bar;33;02/11/2025 20:45:00;26100,5;26091;26099,25;26096,25;651;549
Bar;34;02/11/2025 20:50:00;26097,75;26088,25;26096;26088,5;519;432
Bar;35;02/11/2025 20:55:00;26095,25;26088;26088,25;26089;644;987
Bar;36;02/11/2025 21:00:00;26095,25;26086,75;26089,5;26093,75;697;761
Bar;37;02/11/2025 21:05:00;26096,25;26084,25;26093,25;26090,25;908;749
Bar;38;02/11/2025 21:10:00;26095,5;26083,25;26089,75;26094,75;681;779
Bar;39;02/11/2025 21:15:00;26099,5;26091,75;26094,5;26099,25;559;789
Bar;40;02/11/2025 21:20:00;26111,75;26098;26099;26108,25;1055;1283
Bar;41;02/11/2025 21:25:00;26114,5;26103,75;26108,5;26104,25;835;734
Bar;42;02/11/2025 21:30:00;26104,5;26088,5;26103,5;26089,25;1212;919
Bar;43;02/11/2025 21:35:00;26090,25;26069;26089,25;26073,5;1841;1490
Bar;44;02/11/2025 21:40:00;26087;26070,25;26074;26085,25;899;1032
Bar;45;02/11/2025 21:45:00;26089,75;26078,5;26086;26088,5;586;703
Bar;46;02/11/2025 21:50:00;26092,75;26086,25;26088,5;26089,25;762;683
Bar;47;02/11/2025 21:55:00;26089,75;26078;26088,5;26083;868;754
Bar;48;02/11/2025 22:00:00;26085,5;26079;26082,5;26079,75;459;424
Bar;49;02/11/2025 22:05:00;26084;26072,25;26080,25;26076,75;580;539
Bar;50;02/11/2025 22:10:00;26077,25;26063,25;26077,25;26065,5;1066;897
Bar;51;02/11/2025 22:15:00;26078,5;26066;26066;26071,5;749;913
Bar;52;02/11/2025 22:20:00;26071,75;26049,75;26071,5;26055,75;1606;1058
Bar;53;02/11/2025 22:25:00;26064,25;26051,25;26055,75;26063,75;701;1096
Bar;54;02/11/2025 22:30:00;26072,5;26058,75;26064,25;26071,25;848;934
Bar;55;02/11/2025 22:35:00;26081,5;26070;26071,25;26081;692;899
Bar;56;02/11/2025 22:40:00;26081,5;26068,5;26081,25;26072,25;885;679
Bar;57;02/11/2025 22:45:00;26072;26062,5;26071,5;26071,5;676;730
Bar;58;02/11/2025 22:50:00;26077,75;26069;26071,25;26074,75;434;551
Bar;59;02/11/2025 22:55:00;26079;26072,75;26075,5;26076;267;257
Bar;60;02/11/2025 23:00:00;26076,75;26065;26075,5;26067,5;657;494
Bar;61;02/11/2025 23:05:00;26076,75;26067;26068;26072,75;476;498
Bar;62;02/11/2025 23:10:00;26075;26067,25;26072,5;26072,75;381;312
Bar;63;02/11/2025 23:15:00;26073,5;26066,5;26073;26069,75;283;226
Bar;64;02/11/2025 23:20:00;26080,75;26066,75;26069,75;26080,25;405;678
Bar;65;02/11/2025 23:25:00;26086;26077,5;26080,25;26078,75;687;771
Bar;66;02/11/2025 23:30:00;26079,75;26070,25;26078,5;26079,25;617;704
Bar;67;02/11/2025 23:35:00;26083,25;26077,5;26079,5;26081,75;310;368
Bar;68;02/11/2025 23:40:00;26086;26072,25;26081,75;26075;680;577
Bar;69;02/11/2025 23:45:00;26082;26074,25;26075;26082;271;425
Bar;70;02/11/2025 23:50:00;26085;26079;26082,25;26083,25;337;374
Bar;71;02/11/2025 23:55:00;26085,25;26078;26083,5;26084,5;276;245
Bar;72;03/11/2025 00:00:00;26088;26081;26084,25;26087,25;405;560
Bar;73;03/11/2025 00:05:00;26087,75;26077;26087;26082;435;360
Bar;74;03/11/2025 00:10:00;26082,5;26075,75;26081,25;26078;403;421
Bar;75;03/11/2025 00:15:00;26079,5;26061;26078,5;26065,5;877;602
Bar;76;03/11/2025 00:20:00;26064,75;26055,25;26064,5;26061,75;775;654
Bar;77;03/11/2025 00:25:00;26078;26062;26062;26077,5;527;663
Bar;78;03/11/2025 00:30:00;26080,25;26068,25;26077,5;26076;552;524
Bar;79;03/11/2025 00:35:00;26087,25;26071,5;26076,25;26085,5;428;819
Bar;80;03/11/2025 00:40:00;26088;26076,25;26085,75;26082;614;647
Bar;81;03/11/2025 00:45:00;26082,5;26065,75;26082,25;26068;797;418
Bar;82;03/11/2025 00:50:00;26069;26060,5;26067,5;26063;600;556
Bar;83;03/11/2025 00:55:00;26068,5;26056,25;26062,75;26067,75;643;888
Bar;84;03/11/2025 01:00:00;26080;26066;26068;26079;880;905
Bar;85;03/11/2025 01:05:00;26081,75;26072,25;26079;26072,75;455;508
Bar;86;03/11/2025 01:10:00;26072,5;26061,75;26072,5;26061,75;776;529
Bar;87;03/11/2025 01:15:00;26065;26058,25;26061,5;26059,5;712;706
Bar;88;03/11/2025 01:20:00;26061,5;26044,25;26059,25;26047;1414;945
Bar;89;03/11/2025 01:25:00;26050;26033,25;26046;26041,75;1494;1241
Bar;90;03/11/2025 01:30:00;26056;26036,5;26041,75;26055,5;947;1203
Bar;91;03/11/2025 01:35:00;26060,5;26050,5;26056,25;26050,5;799;719
Bar;92;03/11/2025 01:40:00;26056;26040,75;26050,75;26043,5;837;681
Bar;93;03/11/2025 01:45:00;26050;26031,5;26043,5;26050;882;1068
Bar;94;03/11/2025 01:50:00;26060,5;26046;26050,25;26051,25;901;824
Bar;95;03/11/2025 01:55:00;26053,25;26046;26051;26048;462;472
Bar;96;03/11/2025 02:00:00;26049,75;26030;26048,25;26034;1619;1393
Bar;97;03/11/2025 02:05:00;26035,75;26026,25;26034,75;26034;1253;1093
Bar;98;03/11/2025 02:10:00;26034;26025;26033,5;26029,75;592;501
Bar;99;03/11/2025 02:15:00;26039,5;26024,5;26030;26035,5;706;905
Bar;100;03/11/2025 02:20:00;26044,75;26022,75;26035,5;26043,5;1114;1186
Bar;101;03/11/2025 02:25:00;26048,75;26029,75;26043,5;26036,75;1004;946
Bar;102;03/11/2025 02:30:00;26040,25;26029,75;26037;26031,5;511;498
Bar;103;03/11/2025 02:35:00;26037;26026,75;26031,5;26034;565;559
Bar;104;03/11/2025 02:40:00;26035,25;26020;26034,25;26020;707;514
Bar;105;03/11/2025 02:45:00;26028,5;26016,75;26019,75;26023,25;939;919
Bar;106;03/11/2025 02:50:00;26037,5;26019;26022,75;26030,25;723;846
Bar;107;03/11/2025 02:55:00;26034,5;26021,25;26030,75;26031,25;724;879
Bar;108;03/11/2025 03:00:00;26038,75;26017,75;26031;26037;1305;1363
Bar;109;03/11/2025 03:05:00;26047,75;26029,5;26037,25;26033,5;1373;1445
Bar;110;03/11/2025 03:10:00;26054;26027,25;26033,5;26051;1120;1533
Bar;111;03/11/2025 03:15:00;26058;26039,5;26051,75;26051;1308;1214
